Australian Business Number (ABN),Legal entity,Legal entity postcode,Legal entity LGA,Service provider,Funding agency,Funding source,Funding title,Program title,Funding type,Funding terms,Funding agreement start,Funding agreement end,Funding agreement duration,Category,Tag 1,Tag 2,Client group,Purpose,Statewide,Service delivery LGA,Service delivery postcode,Longitude,Latitude,Total funding under this agreement,Previous financial year,Co-contribution,Website
84965906751,Brothers Leagues Club Ipswich Inc  ,,RACEVIEW,,DJAG,State,Gambling Community Benefit Fund - Round 73,,Grant,Operational,23/09/2012,2/10/2013,12 months,Community support,,,,PURCHASE UTILITY VEHICLE,No,Ipswich City,,,,20392,20392,,http://www.olgr.grants.qld.gov.au/
86187475872,Redbank State School  ,,REDBANK,Redbank State School Parents and Citizens Association,DJAG,State,Gambling Community Benefit Fund - Round 73,,Grant,Operational,23/09/2012,2/10/2013,12 months,Community support,,,,INSTALL SOUND AND LIGHTING TO STAGE AREA,No,Ipswich City,,,,11168,11168,,http://www.olgr.grants.qld.gov.au/
39234184991,Waterworx Amateur Swimming Club Inc  ,,SPRINGFIELD,,DJAG,State,Gambling Community Benefit Fund - Round 73,,Grant,Operational,23/09/2012,2/10/2013,12 months,Community support,,,,PURCHASE SHADE STRUCTURE AND DIVE BLOCKS,No,Ipswich City,,,,30883,30883,,http://www.olgr.grants.qld.gov.au/
27009942269,Cerebral Palsy League Of Queensland  ,,NEW FARM,Support in the Community Springfield ,DJAG,State,Gambling Community Benefit Fund - Round 73,,Grant,Operational,23/09/2012,2/10/2013,12 months,Community support,,,,PURCHASE AV EQUIPMENT,No,Ipswich City,,,,48387,48387,,http://www.olgr.grants.qld.gov.au/
61930852088,Ashwell State School  ,,ASHWELL,Ashwell State School Parents and Citizens Association,DJAG,State,Gambling Community Benefit Fund - Round 74,,Grant,Operational,8/04/2013,17/04/2014,12 months,Community support,,,,PURCHASE INTERACTIVE WHITE BOARDS,No,Ipswich City,,,,15274,15274,,http://www.olgr.grants.qld.gov.au/
77041657504,Kruger State School  ,,BELLBIRD PARK,Kruger State School Parents and Citizens Association,DJAG,State,Gambling Community Benefit Fund - Round 74,,Grant,Operational,18/12/2012,10/01/2014,12 months,Community support,,,,INSTALL SHADE OVER PLAYGROUNDS,No,Ipswich City,,,,35000,35000,,http://www.olgr.grants.qld.gov.au/
27009942269,Cerebral Palsy League Of Queensland  ,,NEW FARM,Allied Health Booval ,DJAG,State,Gambling Community Benefit Fund - Round 74,,Grant,Operational,18/12/2012,10/01/2014,12 months,Community support,,,,INSTALL PHONE SYSTEM PURCHASE WHITEGOODS,No,Ipswich City,,,,25909,25909,,http://www.olgr.grants.qld.gov.au/
66613220309,Rosewood Golf Club Inc  ,,BRASSALL,,DJAG,State,Gambling Community Benefit Fund - Round 74,,Grant,Operational,18/12/2012,10/01/2014,12 months,Community support,,,,INSTALL SOLAR SYSTEM,No,Ipswich City,,,,17779,17779,,http://www.olgr.grants.qld.gov.au/
61028995366,The Young Men's Christian Association Of Brisbane,,FORTITUDE VALLEY,YMCA Camira Outside School Hours Care  ,DJAG,State,Gambling Community Benefit Fund - Round 74,,Grant,Operational,18/12/2012,10/01/2014,12 months,Community support,,,,UPGRADE FLOORING AND PAINT BUILDING,No,Ipswich City,,,,20267,20267,,http://www.olgr.grants.qld.gov.au/
26216801566,Happy Healthy Kidz Australia Inc.  ,,COLLINGWOOD PARK,,DJAG,State,Gambling Community Benefit Fund - Round 74,,Grant,Operational,18/12/2012,10/01/2014,12 months,Community support,,,,TOWARDS EAT SMART B ACTIVE PROGRAM,No,Ipswich City,,,,9782,9782,,http://www.olgr.grants.qld.gov.au/
65608200751,Legacy Club Of Ipswich Inc  ,,IPSWICH,,DJAG,State,Gambling Community Benefit Fund - Round 74,,Grant,Operational,18/12/2012,10/01/2014,12 months,Community support,,,,PURCHASE EQUIPMENT AND CONDUCT TRAINING,No,Ipswich City,,,,25094,25094,,http://www.olgr.grants.qld.gov.au/
95360623241,Seniornet Association Incorporated  ,,IPSWICH,,DJAG,State,Gambling Community Benefit Fund - Round 74,,Grant,Operational,18/12/2012,10/01/2014,12 months,Community support,,,,PURCHASE NOTEBOOK,No,Ipswich City,,,,23018,23018,,http://www.olgr.grants.qld.gov.au/
47104346590,International Riverfoundation  ,,BRISBANE CITY,Bremer River Fund  ,DJAG,State,Gambling Community Benefit Fund - Round 74,,Grant,Operational,18/12/2012,10/01/2014,12 months,Community support,,,,RESTORE AND IMPROVE RESERVE,No,Ipswich City,,,,31818,31818,,http://www.olgr.grants.qld.gov.au/
85491018335,Ipswich 60 & Better Program Inc  ,,IPSWICH,,DJAG,State,Gambling Community Benefit Fund - Round 74,,Grant,Operational,18/12/2012,10/01/2014,12 months,Community support,,,,PURCHASE PHOTOCOPIER,No,Ipswich City,,,,31758,31758,,http://www.olgr.grants.qld.gov.au/
50250642103,Guides Queensland  ,,WINDSOR,1st Ipswich District Girl Guides,DJAG,State,Gambling Community Benefit Fund - Round 74,,Grant,Operational,18/12/2012,10/01/2014,12 months,Community support,,,,RENOVATE DAMAGED KITCHEN,No,Ipswich City,,,,11489,11489,,http://www.olgr.grants.qld.gov.au/
45256269080,North Ipswich Bowls Club Inc  ,,NORTH IPSWICH,,DJAG,State,Gambling Community Benefit Fund - Round 74,,Grant,Operational,18/12/2012,10/01/2014,12 months,Community support,,,,INSTALL SHED AND COVERED OUTDOOR AREA,No,Ipswich City,,,,35000,35000,,http://www.olgr.grants.qld.gov.au/
82144331889,Jets Rugby League Club Inc  ,,NORTH IPSWICH,,DJAG,State,Gambling Community Benefit Fund - Round 74,,Grant,Operational,18/12/2012,10/01/2014,12 months,Community support,,,,PURCHASE MOBILE GRAND STAND,No,Ipswich City,,,,7455,7455,,http://www.olgr.grants.qld.gov.au/
77621141985,Northsiders Cricket Club Inc  ,,NORTH IPSWICH,,DJAG,State,Gambling Community Benefit Fund - Round 74,,Grant,Operational,18/12/2012,10/01/2014,12 months,Community support,,,,INSTALL SHED,No,Ipswich City,,,,3130,3130,,http://www.olgr.grants.qld.gov.au/
50250642103,Guides Queensland  ,,WINDSOR,North Ipswich Girl Guides ,DJAG,State,Gambling Community Benefit Fund - Round 74,,Grant,Operational,18/12/2012,10/01/2014,12 months,Community support,,,,UPGRADE ELECTRICS AND REFURBISH HUT,No,Ipswich City,,,,13327,13327,,http://www.olgr.grants.qld.gov.au/
65261008933,Yamanto Community Kindergarten & Pre School Association Inc,,YAMANTO,,DJAG,State,Gambling Community Benefit Fund - Round 74,,Grant,Operational,18/12/2012,10/01/2014,12 months,Community support,,,,UPGRADE PREMISES,No,Ipswich City,,,,3000,3000,,http://www.olgr.grants.qld.gov.au/
25328758007,The Corp Of The Trustees Of The Roman Catholic Archdiocese Of Brisbane,,BRISBANE CITY,Our Lady of the Southern Cross Catholic Parish,DJAG,State,Gambling Community Benefit Fund - Round 75,,Grant,Operational,8/04/2013,17/04/2014,12 months,Community support,,,,PURCHASE CATERING EQUIPMENT,No,Ipswich City,,,,19848,19848,,http://www.olgr.grants.qld.gov.au/
15381187723,Dragons Volleyball Assoc Inc  ,,BELLBIRD PARK,,DJAG,State,Gambling Community Benefit Fund - Round 75,,Grant,Operational,19/06/2013,24/06/2014,12 months,Community support,,,,PURCHASE TIMING SYSTEMS,No,Ipswich City,,,,28500,28500,,http://www.olgr.grants.qld.gov.au/
80806706271,Ipswich Basketball Assoc Inc  ,,BOOVAL,,DJAG,State,Gambling Community Benefit Fund - ROUND 75,,Grant,Operational,8/04/2013,17/04/2014,12 months,Community support,,,,UPGRADE COURTS AND TOILET FACILITIES,No,Ipswich City,,,,26081,26081,,http://www.olgr.grants.qld.gov.au/
